-4.0,4.0
[-3.78544816],[4.34655375]
[-3.78493641],[4.34741174]
[-3.78442473],[4.34826978]
[-3.78391313],[4.34912786]
[-3.78340159],[4.34998598]
[-3.78289012],[4.35084414]
[-3.78237872],[4.35170234]
[-3.78186738],[4.35256059]
[-3.78135612],[4.35341887]
[-3.78084493],[4.3542772]
[-3.78033381],[4.35513557]
[-3.77982276],[4.35599397]
[-3.77931178],[4.35685242]
[-3.77880086],[4.35771091]
[-3.77829002],[4.35856945]
[-3.77777925],[4.35942802]
[-3.77726854],[4.36028663]
[-3.77675791],[4.36114529]
[-3.77624735],[4.36200398]
[-3.77573685],[4.36286272]
[-3.77522643],[4.3637215]
[-3.77471607],[4.36458032]
[-3.77420579],[4.36543918]
[-3.77369557],[4.36629808]
[-3.77318542],[4.36715703]
[-3.77267535],[4.36801601]
[-3.77216534],[4.36887504]
[-3.77165541],[4.3697341]
[-3.77114554],[4.37059321]
[-3.77063574],[4.37145236]
[-3.77012601],[4.37231155]
[-3.76961636],[4.37317078]
[-3.76910677],[4.37403005]
[-3.76859725],[4.37488936]
[-3.7680878],[4.37574872]
[-3.76757843],[4.37660811]
[-3.76706912],[4.37746755]
[-3.76655988],[4.37832703]
[-3.76605071],[4.37918654]
[-3.76554161],[4.3800461]
[-3.76503258],[4.3809057]
[-3.76452362],[4.38176534]
[-3.76401473],[4.38262503]
[-3.76350591],[4.38348475]
[-3.76299716],[4.38434451]
[-3.76248848],[4.38520432]
[-3.76197987],[4.38606416]
[-3.76147133],[4.38692405]
[-3.76096286],[4.38778398]
[-3.76045446],[4.38864395]
[-3.75994613],[4.38950396]
[-3.75943787],[4.39036401]
[-3.75892968],[4.3912241]
[-3.75842156],[4.39208423]
[-3.75791351],[4.39294441]
[-3.75740553],[4.39380462]
[-3.75689762],[4.39466487]
[-3.75638978],[4.39552517]
[-3.755882],[4.39638551]
[-3.7553743],[4.39724589]
[-3.75486667],[4.39810631]
[-3.75435911],[4.39896676]
[-3.75385162],[4.39982727]
[-3.7533442],[4.40068781]
[-3.75283684],[4.40154839]
[-3.75232956],[4.40240901]
[-3.75182235],[4.40326968]
[-3.75131521],[4.40413038]
[-3.75080814],[4.40499113]
