-4.0,4.0
[-3.4802601],[4.02562902]
[-3.47926386],[4.0257277]
[-3.47826764],[4.02582658]
[-3.47727143],[4.02592564]
[-3.47627525],[4.02602489]
[-3.47527908],[4.02612433]
[-3.47428293],[4.02622396]
[-3.4732868],[4.02632377]
[-3.47229069],[4.02642378]
[-3.4712946],[4.02652398]
[-3.47029853],[4.02662436]
[-3.46930247],[4.02672494]
[-3.46830644],[4.0268257]
[-3.46731042],[4.02692665]
[-3.46631443],[4.02702779]
[-3.46531845],[4.02712912]
[-3.4643225],[4.02723064]
[-3.46332656],[4.02733235]
[-3.46233064],[4.02743425]
[-3.46133474],[4.02753634]
[-3.46033886],[4.02763861]
[-3.459343],[4.02774108]
[-3.45834716],[4.02784373]
[-3.45735134],[4.02794658]
[-3.45635553],[4.02804961]
[-3.45535975],[4.02815283]
[-3.45436399],[4.02825624]
[-3.45336825],[4.02835984]
[-3.45237252],[4.02846363]
[-3.45137682],[4.02856761]
[-3.45038114],[4.02867178]
[-3.44938547],[4.02877613]
[-3.44838983],[4.02888068]
[-3.4473942],[4.02898541]
[-3.4463986],[4.02909033]
[-3.44540302],[4.02919545]
[-3.44440745],[4.02930075]
[-3.44341191],[4.02940624]
[-3.44241638],[4.02951192]
[-3.44142088],[4.02961779]
[-3.4404254],[4.02972384]
[-3.43942993],[4.02983009]
[-3.43843449],[4.02993652]
[-3.43743907],[4.03004315]
[-3.43644366],[4.03014996]
[-3.43544828],[4.03025696]
[-3.43445292],[4.03036416]
[-3.43345758],[4.03047154]
[-3.43246225],[4.03057911]
[-3.43146695],[4.03068686]
[-3.43047167],[4.03079481]
[-3.42947641],[4.03090295]
[-3.42848117],[4.03101127]
[-3.42748595],[4.03111979]
[-3.42649076],[4.03122849]
[-3.42549558],[4.03133738]
[-3.42450042],[4.03144646]
[-3.42350529],[4.03155573]
[-3.42251017],[4.03166519]
[-3.42151508],[4.03177484]
[-3.42052],[4.03188468]
[-3.41952495],[4.0319947]
[-3.41852992],[4.03210492]
[-3.41753491],[4.03221532]
[-3.41653992],[4.03232591]
[-3.41554495],[4.03243669]
[-3.41455],[4.03254766]
[-3.41355507],[4.03265882]
[-3.41256017],[4.03277017]
[-3.41156528],[4.03288171]
[-3.41057042],[4.03299344]
[-3.40957558],[4.03310535]
[-3.40858076],[4.03321745]
[-3.40758596],[4.03332975]
[-3.40659118],[4.03344223]
[-3.40559643],[4.0335549]
[-3.40460169],[4.03366776]
[-3.40360698],[4.03378081]
[-3.40261229],[4.03389404]
[-3.40161761],[4.03400747]
[-3.40062297],[4.03412108]
[-3.39962834],[4.03423489]
[-3.39863373],[4.03434888]
[-3.39763915],[4.03446306]
[-3.39664459],[4.03457743]
[-3.39565005],[4.03469199]
[-3.39465553],[4.03480674]
[-3.39366103],[4.03492168]
[-3.39266656],[4.0350368]
[-3.3916721],[4.03515212]
[-3.39067767],[4.03526762]
[-3.38968326],[4.03538331]
[-3.38868888],[4.03549919]
[-3.38769451],[4.03561526]
[-3.38670017],[4.03573152]
[-3.38570585],[4.03584797]
[-3.38471155],[4.0359646]
[-3.38371727],[4.03608143]
[-3.38272302],[4.03619844]
[-3.38172878],[4.03631564]
[-3.38073457],[4.03643303]
[-3.37974039],[4.03655061]
[-3.37874622],[4.03666838]
[-3.37775208],[4.03678634]
[-3.37675796],[4.03690449]
[-3.37576386],[4.03702282]
[-3.37476979],[4.03714134]
[-3.37377573],[4.03726006]
[-3.3727817],[4.03737896]
[-3.3717877],[4.03749805]
[-3.37079371],[4.03761733]
[-3.36979975],[4.03773679]
[-3.36880581],[4.03785645]
[-3.36781189],[4.03797629]
[-3.366818],[4.03809633]
[-3.36582413],[4.03821655]
[-3.36483028],[4.03833696]
[-3.36383645],[4.03845756]
[-3.36284265],[4.03857835]
[-3.36184887],[4.03869933]
[-3.36085512],[4.03882049]
[-3.35986138],[4.03894185]
[-3.35886767],[4.03906339]
[-3.35787399],[4.03918512]
[-3.35688032],[4.03930704]
[-3.35588668],[4.03942915]
[-3.35489306],[4.03955145]
[-3.35389947],[4.03967394]
[-3.3529059],[4.03979661]
[-3.35191235],[4.03991947]
[-3.35091883],[4.04004253]
[-3.34992533],[4.04016577]
[-3.34893185],[4.0402892]
[-3.34793839],[4.04041282]
[-3.34694496],[4.04053662]
[-3.34595156],[4.04066062]
[-3.34495817],[4.0407848]
[-3.34396481],[4.04090918]
[-3.34297148],[4.04103374]
[-3.34197817],[4.04115849]
[-3.34098488],[4.04128343]
[-3.33999161],[4.04140855]
[-3.33899837],[4.04153387]
[-3.33800515],[4.04165937]
[-3.33701196],[4.04178507]
[-3.33601879],[4.04191095]
[-3.33502565],[4.04203702]
[-3.33403253],[4.04216328]
[-3.33303943],[4.04228972]
[-3.33204635],[4.04241636]
[-3.33105331],[4.04254318]
[-3.33006028],[4.0426702]
[-3.32906728],[4.0427974]
[-3.3280743],[4.04292479]
[-3.32708135],[4.04305237]
[-3.32608842],[4.04318013]
[-3.32509552],[4.04330809]
[-3.32410264],[4.04343623]
[-3.32310978],[4.04356457]
[-3.32211695],[4.04369309]
[-3.32112415],[4.0438218]
[-3.32013136],[4.0439507]
[-3.31913861],[4.04407978]
[-3.31814587],[4.04420906]
[-3.31715317],[4.04433852]
[-3.31616048],[4.04446817]
[-3.31516782],[4.04459801]
[-3.31417519],[4.04472804]
[-3.31318258],[4.04485826]
[-3.31218999],[4.04498867]
[-3.31119744],[4.04511926]
[-3.3102049],[4.04525004]
[-3.30921239],[4.04538102]
[-3.3082199],[4.04551218]
[-3.30722744],[4.04564352]
[-3.30623501],[4.04577506]
[-3.3052426],[4.04590679]
[-3.30425021],[4.0460387]
[-3.30325785],[4.0461708]
[-3.30226552],[4.04630309]
[-3.30127321],[4.04643557]
[-3.30028092],[4.04656824]
[-3.29928866],[4.04670109]
[-3.29829643],[4.04683414]
[-3.29730422],[4.04696737]
[-3.29631204],[4.04710079]
[-3.29531988],[4.0472344]
[-3.29432775],[4.0473682]
[-3.29333564],[4.04750218]
[-3.29234356],[4.04763636]
